"site","aphiaID"
"Aldabra Atoll",212995
"Aldabra Atoll",212997
"Aldabra Atoll",213001
"Aldabra Atoll",213004
"Aldabra Atoll",213010
"Aldabra Atoll",213170
"Aldabra Atoll",213198
"Aldabra Atoll",213245
"Aldabra Atoll",213369
"Aldabra Atoll",213383
"Aldabra Atoll",213452
"Aldabra Atoll",213656
"Aldabra Atoll",213658
"Aldabra Atoll",213697
"Aldabra Atoll",213698
"Aldabra Atoll",213699
"Aldabra Atoll",213703
"Aldabra Atoll",213707
"Aldabra Atoll",213723
"Aldabra Atoll",213738
"Aldabra Atoll",213749
"Aldabra Atoll",214375
"Aldabra Atoll",214390
"Aldabra Atoll",214395
"Aldabra Atoll",214397
"Aldabra Atoll",214415
"Aldabra Atoll",214433
"Aldabra Atoll",214479
"Aldabra Atoll",214684
"Aldabra Atoll",214900
"Aldabra Atoll",214903
"Aldabra Atoll",214904
"Aldabra Atoll",214906
"Aldabra Atoll",214907
"Aldabra Atoll",214911
"Aldabra Atoll",214912
"Aldabra Atoll",214915
"Aldabra Atoll",215302
"Aldabra Atoll",215430
"Aldabra Atoll",215434
"Aldabra Atoll",215436
"Aldabra Atoll",215446
"Aldabra Atoll",215458
"Aldabra Atoll",215462
"Aldabra Atoll",215464
"Aldabra Atoll",215479
"Aldabra Atoll",215519
"Aldabra Atoll",215541
"Aldabra Atoll",215569
"Aldabra Atoll",215627
"Aldabra Atoll",216037
"Aldabra Atoll",216046
"Aldabra Atoll",216047
"Aldabra Atoll",216049
"Aldabra Atoll",216052
"Aldabra Atoll",216053
"Aldabra Atoll",216060
"Aldabra Atoll",216064
"Aldabra Atoll",216131
"Aldabra Atoll",216132
"Aldabra Atoll",216146
"Aldabra Atoll",216843
"Aldabra Atoll",216868
"Aldabra Atoll",216904
"Aldabra Atoll",217088
"Aldabra Atoll",217356
"Aldabra Atoll",217366
"Aldabra Atoll",217379
"Aldabra Atoll",217439
"Aldabra Atoll",217459
"Aldabra Atoll",217465
"Aldabra Atoll",217467
"Aldabra Atoll",217469
"Aldabra Atoll",217470
"Aldabra Atoll",217472
"Aldabra Atoll",217473
"Aldabra Atoll",217476
"Aldabra Atoll",217477
"Aldabra Atoll",217479
"Aldabra Atoll",217481
"Aldabra Atoll",217486
"Aldabra Atoll",217487
"Aldabra Atoll",217490
"Aldabra Atoll",217491
"Aldabra Atoll",217495
"Aldabra Atoll",217496
"Aldabra Atoll",217502
"Aldabra Atoll",217505
"Aldabra Atoll",217506
"Aldabra Atoll",217508
"Aldabra Atoll",217528
"Aldabra Atoll",217541
"Aldabra Atoll",217545
"Aldabra Atoll",217549
"Aldabra Atoll",217560
"Aldabra Atoll",217563
"Aldabra Atoll",217565
"Aldabra Atoll",217566
"Aldabra Atoll",217572
"Aldabra Atoll",217578
"Aldabra Atoll",217579
"Aldabra Atoll",217581
"Aldabra Atoll",217591
"Aldabra Atoll",217592
"Aldabra Atoll",217593
"Aldabra Atoll",217595
"Aldabra Atoll",217597
"Aldabra Atoll",217625
"Aldabra Atoll",217660
"Aldabra Atoll",217662
"Aldabra Atoll",217664
"Aldabra Atoll",217667
"Aldabra Atoll",217670
"Aldabra Atoll",217674
"Aldabra Atoll",217718
"Aldabra Atoll",217797
"Aldabra Atoll",217828
"Aldabra Atoll",217834
"Aldabra Atoll",217855
"Aldabra Atoll",217869
"Aldabra Atoll",217871
